Tool1; Workpiece0; Square-1;
Square: 0.000101441622219228;
Object type; node id;
Workpiece0; 1;
Workpiece0; 38;
Workpiece0; 39;
Workpiece0; 40;
Workpiece0; 41;
Tool1; 10;
Tool1; 11;
Tool1; 12;
Tool1; 13;
Tool1; 14;
Tool1; 15;
Tool1; 16;
Tool1; 17;
Tool1; 18;
Tool1; 19;
Tool1; 20;
Tool1; 21;
Tool1; 22;
Tool1; 23;
Tool1; 24;
Tool1; 25;
Tool1; 26;
Tool1; 27;
Tool1; Workpiece0; Square-1;
Square: 8.53915604968891e-07;
Object type; node id;
Workpiece0; 41;
Workpiece0; 42;
Workpiece0; 43;
Tool1; 8;
Tool1; 9;
Tool1; 10;
Tool1; 11;
Tool2; Workpiece0; Square-1;
Square: 0.00054477975684835;
Object type; node id;
Workpiece0; 3;
Workpiece0; 4;
Workpiece0; 5;
Workpiece0; 6;
Workpiece0; 7;
Workpiece0; 8;
Tool2; 64;
Tool2; 65;
Tool2; 66;
Tool2; 67;
Tool2; 68;
Tool2; 69;
Tool2; 70;
Tool2; 71;
Tool2; 72;
Tool2; 73;
Tool2; 74;
Tool2; 75;
Tool2; 76;
Tool2; 77;
Tool2; 78;
Tool2; 79;
Tool2; 80;
Tool2; 81;
Tool2; 4;
