Tool1; Square0
Square0.000062
x; z;
0.030594; 0.212881
0.030594; 0.212881
0.030152; 0.214859
0.029771; 0.216853
0.027639; 0.215910
0.024604; 0.214829
0.021767; 0.212929
0.021214; 0.210366
0.021083; 0.210407
0.021631; 0.212146
0.021839; 0.215134
0.021943; 0.217115
0.022068; 0.219497
0.022130; 0.220688
0.022362; 0.221870
0.023407; 0.222828
0.024148; 0.222971
0.026033; 0.222971
0.027917; 0.222971
0.029303; 0.222413
0.029917; 0.221067
0.030068; 0.219336
0.030305; 0.216622
0.030619; 0.213039
0.030619; 0.213039
Tool2; Square0
Square- 0.000440
x; z;
0.000000; 0.119671
0.000000; 0.119671
0.006803; 0.119672
0.010446; 0.119676
0.014162; 0.119795
0.016074; 0.119989
0.018031; 0.120722
0.018448; 0.122354
0.018448; 0.122354
0.018306; 0.118268
0.018173; 0.114460
0.018040; 0.110652
0.017922; 0.107272
0.017803; 0.103891
0.017686; 0.100511
0.017626; 0.098821
0.017567; 0.097130
0.017227; 0.096082
0.016382; 0.095373
0.015307; 0.095200
0.013695; 0.095200
0.012083; 0.095200
0.007988; 0.095200
0.003892; 0.095200
0.000000; 0.095200
0.000000; 0.095200
