Tool1; Workpiece0; Square-1;
Square: 3.4415786315245e-07;
Object type; node id;
Workpiece0; 52;
Workpiece0; 53;
Workpiece0; 54;
Tool1; 25;
Tool1; 26;
Tool1; 27;
Tool1; Workpiece0; Square-1;
Square: 3.28183606612964e-05;
Object type; node id;
Workpiece0; 54;
Workpiece0; 55;
Workpiece0; 56;
Workpiece0; 0;
Workpiece0; 57;
Workpiece0; 58;
Workpiece0; 59;
Workpiece0; 60;
Workpiece0; 61;
Workpiece0; 62;
Tool1; 13;
Tool1; 14;
Tool1; 15;
Tool1; 16;
Tool1; 17;
Tool1; 18;
Tool1; 19;
Tool1; 20;
Tool1; 21;
Tool1; 22;
Tool1; 23;
Tool1; 24;
Tool1; 25;
Tool1; 26;
Tool2; Workpiece0; Square-1;
Square: 0.00041016700531301;
Object type; node id;
Workpiece0; 2;
Workpiece0; 3;
Workpiece0; 4;
Workpiece0; 5;
Workpiece0; 6;
Workpiece0; 7;
Workpiece0; 8;
Tool2; 66;
Tool2; 67;
Tool2; 68;
Tool2; 69;
Tool2; 70;
Tool2; 71;
Tool2; 72;
Tool2; 73;
Tool2; 74;
Tool2; 75;
Tool2; 76;
Tool2; 77;
Tool2; 78;
Tool2; 79;
Tool2; 80;
Tool2; 81;
Tool2; 4;
Tool2; Workpiece0; Square-1;
Square: 8.44658674892251e-07;
Object type; node id;
Workpiece0; 26;
Workpiece0; 27;
Workpiece0; 28;
Tool2; 51;
Tool2; 52;
Tool2; 53;
