Tool1; Workpiece0; Square-1;
Square: 3.68930008901692e-05;
Object type; node id;
Workpiece0; 49;
Workpiece0; 50;
Workpiece0; 51;
Workpiece0; 52;
Workpiece0; 53;
Workpiece0; 54;
Workpiece0; 55;
Workpiece0; 56;
Workpiece0; 57;
Workpiece0; 58;
Workpiece0; 59;
Workpiece0; 60;
Workpiece0; 61;
Tool1; 17;
Tool1; 18;
Tool1; 19;
Tool1; 20;
Tool1; 21;
Tool1; 22;
Tool1; 23;
Tool1; 24;
Tool1; 25;
Tool1; 26;
Tool1; 27;
Tool1; 27;
Tool1; Workpiece0; Square-1;
Square: 6.3242912226591e-09;
Object type; node id;
Workpiece0; 76;
Workpiece0; 77;
Workpiece0; 78;
Tool1; 5;
Tool1; 6;
Tool1; 7;
Tool1; 7;
Tool2; Workpiece0; Square-1;
Square: 3.38376691998675e-07;
Object type; node id;
Workpiece0; 2;
Workpiece0; 3;
Workpiece0; 4;
Workpiece0; 5;
Tool2; 58;
Tool2; 59;
Tool2; 60;
Tool2; 61;
Tool2; 2;
Tool2; 2;
Tool2; Workpiece0; Square-1;
Square: 1.86689670395104e-05;
Object type; node id;
Workpiece0; 20;
Workpiece0; 21;
Workpiece0; 22;
Workpiece0; 23;
Workpiece0; 24;
Workpiece0; 25;
Workpiece0; 26;
Workpiece0; 27;
Workpiece0; 28;
Workpiece0; 29;
Workpiece0; 30;
Tool2; 38;
Tool2; 39;
Tool2; 40;
Tool2; 41;
Tool2; 42;
Tool2; 43;
Tool2; 44;
Tool2; 45;
Tool2; 46;
Tool2; 46;
